,x,date
2022-10-24 18:15:00,,2022-10-24
2022-10-24 18:16:00,,2022-10-24
2022-10-24 18:17:00,,2022-10-24
2022-10-24 18:18:00,,2022-10-24
2022-10-24 18:19:00,,2022-10-24
2022-10-24 18:20:00,,2022-10-24
2022-10-24 18:21:00,,2022-10-24
2022-10-24 18:22:00,,2022-10-24
2022-10-24 18:23:00,,2022-10-24
2022-10-24 18:24:00,,2022-10-24
2022-10-24 18:25:00,,2022-10-24
2022-10-24 18:26:00,,2022-10-24
2022-10-24 18:27:00,,2022-10-24
2022-10-24 18:28:00,,2022-10-24
2022-10-24 18:29:00,,2022-10-24
2022-10-24 18:30:00,,2022-10-24
2022-10-24 18:31:00,,2022-10-24
2022-10-24 18:32:00,,2022-10-24
2022-10-24 18:33:00,,2022-10-24
2022-10-24 18:34:00,,2022-10-24
2022-10-24 18:35:00,,2022-10-24
2022-10-24 18:36:00,,2022-10-24
2022-10-24 18:37:00,,2022-10-24
2022-10-24 18:38:00,,2022-10-24
2022-10-24 18:39:00,,2022-10-24
2022-10-24 18:40:00,,2022-10-24
2022-10-24 18:41:00,,2022-10-24
2022-10-24 18:42:00,,2022-10-24
2022-10-24 18:43:00,,2022-10-24
2022-10-24 18:44:00,,2022-10-24
2022-10-24 18:45:00,,2022-10-24
2022-10-24 18:46:00,,2022-10-24
2022-10-24 18:47:00,,2022-10-24
2022-10-24 18:48:00,,2022-10-24
2022-10-24 18:49:00,,2022-10-24
2022-10-24 18:50:00,,2022-10-24
2022-10-24 18:51:00,,2022-10-24
2022-10-24 18:52:00,,2022-10-24
2022-10-24 18:53:00,,2022-10-24
2022-10-24 18:54:00,,2022-10-24
2022-10-24 18:55:00,,2022-10-24
2022-10-24 18:56:00,,2022-10-24
2022-10-24 18:57:00,,2022-10-24
2022-10-24 18:58:00,,2022-10-24
2022-10-24 18:59:00,,2022-10-24
2022-10-24 19:00:00,,2022-10-24
2022-10-24 19:01:00,,2022-10-24
2022-10-24 19:02:00,,2022-10-24
2022-10-24 19:03:00,,2022-10-24
2022-10-24 19:04:00,,2022-10-24
2022-10-24 19:05:00,,2022-10-24
2022-10-24 19:06:00,,2022-10-24
2022-10-24 19:07:00,,2022-10-24
2022-10-24 19:08:00,,2022-10-24
2022-10-24 19:09:00,,2022-10-24
2022-10-24 19:10:00,,2022-10-24
2022-10-24 19:11:00,,2022-10-24
2022-10-24 19:12:00,,2022-10-24
2022-10-24 19:13:00,,2022-10-24
2022-10-24 19:14:00,,2022-10-24
2022-10-24 19:15:00,,2022-10-24
